depth,profile_filename,flag_quality,posixct_date_utc,latitude_dec_degrees,longitude_dec_degrees,sun_zenith_angle_degrees,hole_type,wavelength,edz,euz,luz,pred_ked,a0,pred_edz_from_klu
0.3,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.6100918947112675
0.31,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.604073940528017
0.32,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.598060745258727
0.33,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.592052305140114
0.34,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.586048616411871
0.35,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.5800496753166655
0.36,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.574055478100136
0.37,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.568066021010889
0.38,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.562081300300498
0.39,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.556101312223503
0.4,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.550126053037401
0.41,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.544155519002651
0.42,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.5381897063826715
0.43,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.532228611443834
0.44,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.52627223045546
0.45,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.520320559689825
0.46,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.5143735954221516
0.47,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.508431333930605
0.48,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.5024937714962965
0.49,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.496560904403277
0.5,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.490632728938539
0.51,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.484709241392004
0.52,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.478790438056534
0.53,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.472876315227922
0.54,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.466966869204887
0.55,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.4610620962890755
0.56,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.4551619927850625
0.57,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.4492665550003405
0.58,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.443375779245325
0.59,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.4374896618333475
0.6,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.431608199080656
0.61,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.425731387306409
0.62,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.419859222832681
0.63,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.41399170198445
0.64,GE2016.ICMP_ICEP_160615_CAST_005,TRUE,2016-06-15T15:17:31Z,67.481,-63.789,44.98092,NA,443,NA,NA,NA,0.0791098843311679,7.792862203515311,7.408128821089602
